tcpuid_1891,csd_name_1891,cd_name_1891,pr_1891,tcpuid_1901,csd_name_1901,cd_name_1901,pr_1901,relationship,iou,frac_from,frac_to,name_similarity
ON046048,Billings,Algoma,ON,ON044082,Billings,Algoma,ON,OVERLAPS,0.9606,0.9606,1.0,100.0
ON046008,Hallam & Graham,Nipissing,ON,ON092045,"Nairn, Lorne, Hyman & unorganized territory",Nipissing,ON,OVERLAPS,0.2931,0.3259,0.7442,49.31
ON046024,Thessalon (Western Division),Algoma,ON,ON044030,Thessalon,Algoma,ON,OVERLAPS,0.9754,0.9754,1.0,64.05
ON046014,Mississagua,Algoma,ON,ON092999,NO DATA,Nipissing,ON,OVERLAPS,0.0013,0.5239,0.0013,19.56
ON046006,Goulais Bay,Algoma,ON,ON044079,Unorganized territory—Ter. non-organisé,Algoma,ON,OVERLAPS,0.0019,0.8714,0.0019,44.0
ON046013,Michipicoten,Algoma,ON,ON044017,Michipicoten River,Algoma,ON,OVERLAPS,0.2307,0.2825,0.5573,86.0
ON046013,Michipicoten,Algoma,ON,ON044079,Unorganized territory—Ter. non-organisé,Algoma,ON,OVERLAPS,0.0002,0.6817,0.0002,46.47
ON046017,Root River & Korah,Algoma,ON,ON044026,Sault Ste. Marie,Algoma,ON,OVERLAPS,0.1711,0.1913,0.6184,50.59
ON048003,Brantford,"Brant, North—Nord",ON,ON127004,"Brantford, East—Est","Wentworth & Brant, North—Nord",ON,SAME_AS,1.0,1.0,1.0,67.17
ON048004,Dumfries S,"Brant, North—Nord",ON,ON127005,"Dumfries, South—Sud","Wentworth & Brant, North—Nord",ON,SAME_AS,1.0,1.0,1.0,70.45
ON049001,Brantford W-O,"Brant, South—Sud",ON,ON046002,"Brantford, West—Ouest","Brant, South—Sud",ON,SAME_AS,1.0,1.0,1.0,79.41
ON052002,Amabel & Saugeen,"Bruce, North—Nord",ON,ON049002,Amabel & Saugeen Ind. Reserve,"Bruce, North—Nord",ON,SAME_AS,1.0,1.0,1.0,79.78
ON090007,"Springfield, Village","Middlesex, East—Est",ON,ON087007,"Springfield, Village","Middlesex, East—Est",ON,OVERLAPS,0.6292,0.7681,0.7768,100.0
ON062004,Sandwich E,"Essex, North—Nord",ON,ON059004,"Sandwich, East—Est","Essex, North—Nord",ON,OVERLAPS,0.4032,0.4553,0.7787,80.0
ON062010,"Windsor, Town—Ville","Essex, North—Nord",ON,ON059012,"Windsor, City—Cité","Essex, North—Nord",ON,SAME_AS,1.0,1.0,1.0,75.41
ON062009,Walkerville,"Essex, North—Nord",ON,ON059011,"Walkerville, Town—Ville","Essex, North—Nord",ON,SAME_AS,1.0,1.0,1.0,75.29
ON063003,Colchester N,"Essex, South—Sud",ON,ON060003,"Colchester, North—Nord","Essex, South—Sud",ON,SAME_AS,1.0,1.0,1.0,79.41
