tcpuid_1871,csd_name_1871,cd_name_1871,pr_1871,tcpuid_1881,csd_name_1881,cd_name_1881,pr_1881,relationship,iou,frac_from,frac_to,name_similarity
NT999999,NO DATA,The Territories,NT,ON182999,NO DATA,Algoma,ON,OVERLAPS,0.0276,0.0281,0.6068,72.86
MB999999,NO DATA,Manitoba,MB,MB187002,North Eastern,Extension,MB,OVERLAPS,0.198,0.2432,0.5158,45.59
MB999999,NO DATA,Manitoba,MB,MB187003,North Western,Extension,MB,OVERLAPS,0.2266,0.2478,0.7265,38.59
ON087002,"Manitoulin, Centre",Manitoulin,ON,ON182001,"Howland, Strawberry, Lacloche, Haywood Island",Algoma,ON,OVERLAPS,0.1153,0.1219,0.6816,25.28
ON028004,Elderslie,"Bruce, North—Nord",ON,ON177013,Elderslie,"Bruce, North—Nord",ON,OVERLAPS,0.9785,0.9785,1.0,100.0
ON078001,Nepean,Carleton,ON,ON105001,"Ottawa, Wellington Ward—Quartier","Ottawa, City—Cité",ON,OVERLAPS,0.0157,0.0158,0.5997,12.17
ON035006,Luther,"Wellington, North—Nord",ON,ON153008,Luther E & W-O,"Wellington, North—Nord",ON,SAME_AS,1.0,1.0,1.0,72.0
ON071002,"Iroquois, Village",Dundas,ON,ON102002,Iroquois,Dundas,ON,SAME_AS,1.0,1.0,1.0,74.8
ON006001,Yarmouth,"Elgin, East—Est",ON,ON163001,Yarmouth,"Elgin, East—Est",ON,OVERLAPS,0.9719,0.9879,0.9835,100.0
ON006002,"Saint Thomas, Town—Ville","Elgin, East—Est",ON,ON163001,Yarmouth,"Elgin, East—Est",ON,OVERLAPS,0.0164,0.8201,0.0165,43.12
ON001001,Malden,Essex,ON,ON181001,Malden,Essex,ON,OVERLAPS,0.961,1.0,0.961,100.0
ON001007,Pelée,Essex,ON,ON181009,Pelee Island,Essex,ON,SAME_AS,1.0,1.0,1.0,62.94
ON001002,"Amherstburg, Town—Ville",Essex,ON,ON181001,Malden,Essex,ON,OVERLAPS,0.0379,0.5897,0.039,44.48
