tcpuid_1911,csd_name_1911,cd_name_1911,pr_1911,tcpuid_1921,csd_name_1921,cd_name_1921,pr_1921,relationship,iou,frac_from,frac_to,name_similarity
AB001001,92 townships,Calgary,AB,AB194005,220. Shepard,Division No. 6,AB,OVERLAPS,0.0606,0.0628,0.6371,29.17
AB001001,92 townships,Calgary,AB,AB194010,249. Keoma,Division No. 6,AB,OVERLAPS,0.0686,0.071,0.6666,19.09
AB001001,92 townships,Calgary,AB,AB194013,252. L.I.D.- D.A.L.,Division No. 6,AB,OVERLAPS,0.0837,0.0847,0.8772,13.55
AB001001,92 townships,Calgary,AB,AB194015,279. Norquay,Division No. 6,AB,OVERLAPS,0.0681,0.0706,0.6646,17.5
AB001001,92 townships,Calgary,AB,AB194018,282. L.I.D.- D.A.L.,Division No. 6,AB,OVERLAPS,0.0677,0.0712,0.5783,13.55
AB001999,NO DATA,Calgary,AB,AB194007,222. L.I.D.- D.A.L.,Division No. 6,AB,OVERLAPS,0.2827,0.7971,0.3047,16.15
AB002001,226 townships,Edmonton,AB,AB199011,548. Sturgeon,Division No. 11,AB,OVERLAPS,0.0396,0.0397,0.9384,31.97
AB002001,226 townships,Edmonton,AB,AB200008,553. L.I.D.- D.A.L.,Division No. 12,AB,OVERLAPS,0.0284,0.0288,0.6659,19.18
AB002001,226 townships,Edmonton,AB,AB200009,554. L.I.D.- D.A.L.,Division No. 12,AB,OVERLAPS,0.0271,0.0274,0.7529,19.18
AB002001,226 townships,Edmonton,AB,AB200010,555. L.I.D.- D.A.L.,Division No. 12,AB,OVERLAPS,0.0233,0.0237,0.5483,19.18
AB002001,226 townships,Edmonton,AB,AB200007,552. Pembina,Division No. 12,AB,OVERLAPS,0.0363,0.0364,0.8815,27.23
AB002001,226 townships,Edmonton,AB,AB202009,608. Tawatinaw,Division No. 14,AB,OVERLAPS,0.0234,0.0239,0.554,36.36
AB002001,226 townships,Edmonton,AB,AB200014,582. Kitchener,Division No. 12,AB,OVERLAPS,0.0411,0.0413,0.8965,31.18
AB002001,226 townships,Edmonton,AB,AB202010,609. Pibroch,Division No. 14,AB,OVERLAPS,0.0286,0.0288,0.7514,32.83
AB002001,226 townships,Edmonton,AB,AB202011,610. L.I.D.- D.A.L.,Division No. 14,AB,OVERLAPS,0.0284,0.0288,0.6658,23.56
