:START_ID,:END_ID,relationship_type,iou:float,from_fraction:float,to_fraction:float,year_from:int,year_to:int,:TYPE
CD_NB_New_Brunswick,CD_NB_New_Brunswick,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_NL_Newfoundland,CD_NL_Newfoundland,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_NS_Nova_Scotia,CD_NS_Nova_Scotia,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_NT_The_Territories,CD_ON_Nipissing,CONTAINS,0.0065,0.0065,1.0,1851,1861,P134_continued
CD_NT_The_Territories,CD_ON_Algoma,CONTAINS,0.0128,0.0128,0.9999,1851,1861,P134_continued
CD_NT_The_Territories,CD_NT_The_Territories,WITHIN,0.9785,0.9785,1.0,1851,1861,P134_continued
CD_ON_Addington,CD_ON_Lennox_and_Addington_,WITHIN,0.3636,1.0,0.3636,1851,1861,P134_continued
CD_ON_Brant,CD_ON_Brant,CONTAINS,0.2505,0.2505,1.0,1851,1861,P134_continued
CD_ON_Brant,CD_ON_Brant_,CONTAINS,0.7495,0.7495,1.0,1851,1861,P134_continued
CD_ON_Bruce,CD_ON_Bruce,WITHIN,0.647,1.0,0.647,1851,1861,P134_continued
CD_ON_Bytown,CD_ON_Ottawa,WITHIN,0.686,1.0,0.686,1851,1861,P134_continued
CD_ON_Carleton,CD_ON_Carleton,SAME_AS,0.9985,0.9985,1.0,1851,1861,P134_continued
CD_ON_Dundas,CD_ON_Dundas,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Durham,CD_ON_Durham_,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Elgin,CD_ON_Elgin,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Essex,CD_ON_Essex,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Glengary,CD_ON_Glengary_,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Grenville,CD_ON_Grenville_,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Grey,CD_ON_Grey,CONTAINS,0.768,0.768,1.0,1851,1861,P134_continued
CD_ON_Haldimand,CD_ON_Haldimand,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Halton,CD_ON_Halton,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Hamilton,CD_ON_Hamilton,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Hastings,CD_ON_Hastings,WITHIN,0.5798,1.0,0.5798,1851,1861,P134_continued
CD_ON_Huron,CD_ON_Huron,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Kent,CD_ON_Kent,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
"CD_ON_Kingston,_City",CD_ON_Kingston,WITHIN,0.744,0.9876,0.751,1851,1861,P134_continued
CD_ON_Lambton,CD_ON_Lambton,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Lanark,CD_ON_Lanark,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Leeds,CD_ON_Leeds,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Lennox,CD_ON_Lennox_and_Addington_,WITHIN,0.157,1.0,0.157,1851,1861,P134_continued
CD_ON_Lincoln,CD_ON_Lincoln,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_London,CD_ON_London,WITHIN,0.6385,1.0,0.6385,1851,1861,P134_continued
CD_ON_Middlesex,CD_ON_Middlesex,SAME_AS,0.9989,0.9989,1.0,1851,1861,P134_continued
CD_ON_Norfolk,CD_ON_Norfolk,SAME_AS,0.9985,0.9985,1.0,1851,1861,P134_continued
CD_ON_Northumberland,CD_ON_Northumberland,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Ontario,CD_ON_Ontario,CONTAINS,0.879,0.879,1.0,1851,1861,P134_continued
CD_ON_Oxford,CD_ON_Oxford,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Peel,CD_ON_Peel,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Perth,CD_ON_Perth,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Peterboro,CD_ON_Peterborough,WITHIN,0.4902,1.0,0.4902,1851,1861,P134_continued
CD_ON_Prescott,CD_ON_Prescott,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Prince_Edward,CD_ON_Prince_Edward,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Renfrew,CD_ON_Renfrew,WITHIN,0.4547,0.9989,0.4549,1851,1861,P134_continued
CD_ON_Renfrew,CD_ON_Renfew,CONTAINS,0.0011,0.0011,1.0,1851,1861,P134_continued
CD_ON_Russell,CD_ON_Russell,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
CD_ON_Simcoe,CD_ON_Simcoe,WITHIN,0.6725,1.0,0.6725,1851,1861,P134_continued
CD_ON_Stormont,CD_ON_Stormont,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
"CD_ON_Toronto,_City",CD_ON_Toronto,WITHIN,0.8804,0.9908,0.8876,1851,1861,P134_continued
CD_ON_Victoria,CD_ON_Victoria,WITHIN,0.3608,1.0,0.3608,1851,1861,P134_continued
CD_ON_Waterloo,CD_ON_Waterloo,SAME_AS,1.0,1.0,1.0,1851,1861,P134_continued
