cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_AB_Edmonton,CD_AB_Division_No._9,OVERLAPS,0.0318,0.0347,0.2788,10659196287.94
CD_AB_Edmonton,CD_AB_Division_No._11,OVERLAPS,0.0194,0.0197,0.5081,6061116896.2
CD_AB_Edmonton,CD_AB_Division_No._14,OVERLAPS,0.0434,0.0447,0.6113,13717259008.93
CD_AB_Edmonton,CD_BC_Cariboo,OVERLAPS,0.0,0.0,0.0,98920.17
CD_AB_Edmonton,CD_AB_Division_No._17,OVERLAPS,0.3796,0.5099,0.5978,156629399298.17
CD_AB_Macleod,CD_AB_Division_No._2,OVERLAPS,0.3617,0.4432,0.663,10843527623.76
CD_AB_Macleod,CD_AB_Division_No._4,OVERLAPS,0.444,0.5029,0.7913,12304100121.59
CD_AB_Macleod,CD_AB_Division_No._6,OVERLAPS,0.0265,0.0539,0.0496,1319196960.5
CD_AB_Medicine_Hat,CD_AB_Division_No._2,OVERLAPS,0.0719,0.0837,0.337,5512697868.85
CD_AB_Medicine_Hat,CD_AB_Division_No._4,OVERLAPS,0.0415,0.0492,0.2087,3244324122.61
CD_AB_Medicine_Hat,CD_AB_Division_No._5,OVERLAPS,0.183,0.2008,0.6747,13225621109.07
CD_AB_Medicine_Hat,CD_AB_Division_No._6,OVERLAPS,0.0802,0.1043,0.2581,6868884821.89
CD_AB_Red_Deer,CD_AB_Division_No._5,OVERLAPS,0.0945,0.1176,0.3253,6375325583.17
CD_AB_Red_Deer,CD_AB_Division_No._6,OVERLAPS,0.0503,0.0714,0.1454,3870304897.17
CD_AB_Red_Deer,CD_AB_Division_No._7,OVERLAPS,0.1429,0.1649,0.5174,8936012702.81
CD_AB_Red_Deer,CD_AB_Division_No._8,OVERLAPS,0.1907,0.2098,0.6779,11369738193.91
CD_AB_Red_Deer,CD_AB_Division_No._9,OVERLAPS,0.3439,0.4364,0.6187,23654319755.74
CD_AB_Strathcona,CD_AB_Division_No._7,OVERLAPS,0.235,0.3141,0.4826,8336602467.88
CD_AB_Strathcona,CD_AB_Division_No._8,OVERLAPS,0.1425,0.2036,0.3221,5402416907.42
CD_AB_Strathcona,CD_AB_Division_No._10,OVERLAPS,0.098,0.1423,0.2392,3776570536.98
