cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_Cariboo,CD_BC_Yale,OVERLAPS,0.0,0.0,0.0,4646894.02
CD_BC_Cariboo,CD_BC_New_Westminster,OVERLAPS,0.0607,0.1384,0.0975,45836842642.03
CD_BC_New_Westminster,CD_BC_Cariboo,OVERLAPS,0.0,0.0,0.0,4791.05
CD_MB_Extension,CD_MB_Provencher_,OVERLAPS,0.0217,0.0225,0.3832,3467500465.38
CD_MB_Extension,CD_MB_Provencher,OVERLAPS,0.0115,0.0117,0.3208,1812256466.92
CD_MB_Extension,CD_MB_Selkirk,OVERLAPS,0.1245,0.1279,0.8246,19727608505.8
CD_MB_Extension,CD_MB_Lisgar,OVERLAPS,0.4091,0.4467,0.8293,68921624856.29
CD_MB_Extension,CD_MB_Marquette,OVERLAPS,0.3759,0.3911,0.906,60344416066.21
CD_MB_Extension,CD_NT_Saskatchewan,OVERLAPS,0.0,0.0,0.0,1673440.28
CD_MB_Marquette,CD_MB_Provencher,OVERLAPS,0.0587,0.0746,0.2153,1216083471.59
CD_MB_Marquette,CD_MB_Selkirk,OVERLAPS,0.1165,0.2575,0.1754,4197032901.64
CD_MB_Marquette,CD_MB_Lisgar,OVERLAPS,0.0488,0.2838,0.0557,4627225848.29
CD_MB_Marquette,CD_MB_Marquette,OVERLAPS,0.0817,0.3841,0.094,6261470419.22
CD_MB_Provencher,CD_MB_Provencher_,OVERLAPS,0.4601,0.6762,0.5901,5339639414.65
CD_MB_Provencher,CD_MB_Provencher,OVERLAPS,0.2327,0.3238,0.4526,2556675241.37
CD_MB_Provencher_,CD_MB_Provencher_,OVERLAPS,0.0124,0.1741,0.0132,119463266.69
CD_MB_Provencher_,CD_MB_Lisgar,OVERLAPS,0.0068,0.8259,0.0068,566873103.99
CD_MB_Selkirk,CD_MB_Provencher_,OVERLAPS,0.0104,0.0445,0.0134,121428903.37
CD_MB_Selkirk,CD_MB_Provencher,OVERLAPS,0.0076,0.0233,0.0112,63468467.32
CD_MB_Selkirk,CD_MB_Lisgar,OVERLAPS,0.0298,0.9112,0.0299,2486071244.57
CD_NT_The_Territories,CD_ON_Algoma,OVERLAPS,0.0138,0.0143,0.2642,100589861671.1
CD_NT_The_Territories,CD_ON_Nipissing,OVERLAPS,0.0008,0.0008,0.0704,5702136014.08
CD_ON_Algoma,"CD_ON_Peterborough,_East—Est",OVERLAPS,0.0035,0.0036,0.1989,1268469260.09
CD_ON_Algoma,CD_ON_Algoma,OVERLAPS,0.6146,0.7887,0.7358,280108090229.78
CD_ON_Algoma,CD_ON_Nipissing,OVERLAPS,0.2035,0.2076,0.9108,73729291781.15
CD_ON_Algoma,CD_NT_The_Unorganized_Territories,OVERLAPS,0.0,0.0001,0.0,20332551.15
CD_ON_Bothwell,CD_ON_Bothwell,OVERLAPS,0.4255,0.5771,0.6182,931309459.48
CD_ON_Bothwell,"CD_ON_Elgin,_West—Ouest",OVERLAPS,0.1951,0.3144,0.3397,507314468.29
CD_ON_Bothwell,"CD_ON_Middlesex,_West—Ouest",OVERLAPS,0.072,0.1085,0.1761,175047141.43
"CD_ON_Brant,_North—Nord","CD_ON_Brant,_South—Sud",OVERLAPS,0.1269,0.2274,0.2231,104625838.66
"CD_ON_Brant,_North—Nord","CD_ON_Brant,_North—Nord",OVERLAPS,0.3702,0.7726,0.4154,355484160.55
"CD_ON_Brant,_South—Sud","CD_ON_Oxford,_South—Sud",OVERLAPS,0.245,0.4843,0.3316,342279308.76
"CD_ON_Brant,_South—Sud","CD_ON_Brant,_South—Sud",OVERLAPS,0.4489,0.5154,0.7769,364267241.97
